Start Time,End Time,Sentence
"00:11:40,000","00:11:40,000",بومبار؟
"00:11:41,000","00:11:42,000",مومبار
"00:11:43,000","00:11:44,000",إيه هذي
"00:11:44,000","00:11:45,000",أنا نزللي مطبق
"00:11:45,000","00:11:47,000",أنت عارف المومبار ده إيه
"00:11:47,000","00:11:47,000",والله لا
"00:11:47,000","00:11:49,000",طيب مش كويس
"00:11:49,000","00:11:50,000",طب إنتي دحين أشرحلي إيش المومبار هذا
"00:11:50,000","00:11:51,000",لا مش هينفع
"00:11:51,000","00:11:51,000",ليه؟
"00:11:51,000","00:11:52,000",كله كله وبعدين
"00:11:52,000","00:11:53,000",أمانة إيش
"00:11:53,000","00:11:54,000",إيه؟
"00:11:54,000","00:11:55,000",إيش إيش ده
"00:11:55,000","00:11:57,000",هقولك بس أنت دوق وبعدين قولي رأيك وبعدين
"00:11:57,000","00:11:58,000",الله يستر
"00:11:58,000","00:12:00,000",ماشي أنا هدوق المطبق
"00:12:00,000","00:12:02,000",هو المطبق ده سعودي؟
"00:12:02,000","00:12:03,000",يعتبر إيه وهذا منتشر عندنا
"00:12:03,000","00:12:05,000",نموذج الجريش اللي المرة اللي فاتت
"00:12:11,000","00:12:12,000",هذا مطبق مالح
"00:12:12,000","00:12:13,000",خد عايز واحدة
"00:12:16,000","00:12:17,000",تبي مومبارة؟
"00:12:17,000","00:12:18,000",لا أنا ما بأكلش لحمة
"00:12:18,000","00:12:20,000",يا هذا ما فيه له لحم المومبار
"00:12:20,000","00:12:21,000",هلا فيه له لحم؟
"00:12:21,000","00:12:23,000",بالله؟
"00:12:23,000","00:12:24,000",حلو المومبارة عجبك؟
"00:12:24,000","00:12:25,000",يعني
"00:12:25,000","00:12:26,000",ديه يعني بقى؟
"00:12:26,000","00:12:27,000",فيه أشياء أطعم
"00:12:27,000","00:12:29,000",آه صحه ولو
"00:12:29,000","00:12:30,000",ما يستحقش يبقى أكلة
"00:12:30,000","00:12:32,000",لأنه فيه أحسن منه
"00:12:32,000","00:12:33,000",ممكن نتكلم بقى في الموضوع شنقيم؟
"00:12:35,000","00:12:36,000",إيش الأشياء اللي تشوفيها
"00:12:37,000","00:12:39,000",في الولد اللي
"00:12:39,000","00:12:41,000",أنا مش فاكرة أنت اللي هتجاوب الأول
"00:12:41,000","00:12:42,000",أنا جاوبت السؤال اللي فات
"00:12:42,000","00:12:43,000",وقاعدت تصرخ عليها
"00:12:43,000","00:12:45,000",دارك دحين دلينا نشوف
"00:12:45,000","00:12:46,000",إيش الريد فلاكز اللي في الولد
"00:12:46,000","00:12:48,000",يعني دحين فيه ولد شفتيه
"00:12:48,000","00:12:49,000",إذا فيه له كذا
"00:12:49,000","00:12:51,000",إكس بيج إكس
"00:12:51,000","00:12:52,000",بيج إكس
"00:12:52,000","00:12:52,000",بيج
"00:12:52,000","00:12:54,000",يكون متحكم
"00:12:54,000","00:12:57,000",يكون عنده رأي ما بيغيروش
"00:12:58,000","00:13:02,000",يكون مش مقتنع بالفرص
"00:13:03,000","00:13:03,000",ها؟
"00:13:03,000","00:13:05,000",وإيه بقى الرجل اللي ما يحترمش
"00:13:05,000","00:13:08,000",المرأة اللي معاه وكاينها
"00:13:10,000","00:13:11,000",يعني كله أنا ده ولا إيش؟
"00:13:11,000","00:13:15,000",لا أنا قلت حقا أنت الريد فلاكز
"00:13:15,000","00:13:16,000",أنت قلت الريد فلاكز حقك دحين صح؟
"00:13:16,000","00:13:18,000",آه قلتها يا ريت أنت تقول حقها
"00:13:18,000","00:13:20,000",الريد فلاكز حق
"00:13:20,000","00:13:22,000",اللي أشوفها في البيت تكون مرة خلاص
"00:13:23,000","00:13:24,000",تكون مثلاً
"00:13:24,000","00:13:26,000",تدخن تعسل تفيب
"00:13:26,000","00:13:28,000",هذه الأشياء كلها اللي ما هي صحية
"00:13:28,000","00:13:30,000",ألكوهوليك دراجز ديل أشياء
"00:13:30,000","00:13:31,000",أشياء بطالة هذه
"00:13:32,000","00:13:33,000",آه إيش كمان
"00:13:33,000","00:13:34,000",إنها مرة تحب السهر
"00:13:34,000","00:13:36,000",مو مشكلة الواحد يسهر مرة في الشهر
"00:13:36,000","00:13:37,000",مرتين في الشهر
"00:13:37,000","00:13:38,000",مو كل ويكند
"00:13:38,000","00:13:39,000",فلاو كده
"00:13:39,000","00:13:40,000",مو حلو
"00:13:40,000","00:13:41,000",منطق
"00:13:41,000","00:13:43,000",إيش كمان في ريد فلاكز
"00:13:43,000","00:13:45,000",البنت اللي طول الوقت شايفها نفسها صح
"00:13:45,000","00:13:46,000",مم؟
"00:13:46,000","00:13:47,000",مو بس البنات حتى الأولاد
"00:13:47,000","00:13:48,000",شايف طول الوقت نفسها صح
"00:13:48,000","00:13:49,000",بيج ريد فلاكز
"00:13:49,000","00:13:50,000",مثلاً؟
"00:13:50,000","00:13:51,000",أيوه طول الوقت صح
"00:13:51,000","00:13:52,000",حرام
"00:13:52,000","00:13:53,000",فأنت الحاجات اللي أنت قلت
"00:13:53,000","00:13:55,000",أنت مش عايزة في البنت دي
"00:13:55,000","00:13:56,000",أنت ما بتعمل هيش صح؟
"00:13:56,000","00:13:58,000",ولا وحدة منها
"00:13:58,000","00:13:59,000",ولا سهر ولا..
"00:13:59,000","00:14:00,000",سهر أيوه أسهر
"00:14:00,000","00:14:00,000",إجازة
"00:14:00,000","00:14:02,000",أنا مأجز في الصيف أسهر
"00:14:02,000","00:14:03,000",كم مرة في الشهر بتسهر؟
"00:14:03,000","00:14:04,000",أروح كلابز لما أنا أسافر
"00:14:04,000","00:14:05,000",لما تسافر؟
"00:14:05,000","00:14:06,000",سافرت مثلاً بالي
"00:14:06,000","00:14:08,000",بتسافر بقى كل أسبوع زي ما قلت كده
"00:14:08,000","00:14:09,000",ما أسافر؟
"00:14:09,000","00:14:11,000",عادي فبتسافر بقى عادي
"00:14:11,000","00:14:12,000",مستحيل أقدر أسافر كل أسبوع
"00:14:12,000","00:14:14,000",أسافر يعني كل 3 شهور
"00:14:14,000","00:14:15,000",كل 4 شهور
"00:14:15,000","00:14:15,000",يا دوب
"00:14:15,000","00:14:16,000",ميش
"00:14:16,000","00:14:17,000",طب أنت بقى إيه
"00:14:17,000","00:14:18,000",الجرين فلاكز
"00:14:18,000","00:14:19,000",لو شفتها في البنت
"00:14:20,000","00:14:22,000",عكساً اللي قلتلك هو
"00:14:22,000","00:14:24,000",وتكون مرة مهتمة بشي معين
"00:14:25,000","00:14:26,000",استن
"00:14:26,000","00:14:28,000",تكون مرة شاطرة فيه
"00:14:28,000","00:14:28,000",فاهمة؟
"00:14:28,000","00:14:29,000",مثلاً
"00:14:29,000","00:14:30,000",رسامة شاطرة
"00:14:30,000","00:14:32,000",واضح عليها الموهبة إنها
"00:14:32,000","00:14:33,000",أوف
"00:14:33,000","00:14:34,000",هذي البنت إذا رسمت
"00:14:34,000","00:14:35,000",هذي خلاص
"00:14:35,000","00:14:36,000",هذي هي ممتازة
"00:14:36,000","00:14:37,000",شاطرة في شي معين
"00:14:37,000","00:14:38,000",وحط وقتها فيه
"00:14:38,000","00:14:39,000",ما تكون فاضية
"00:14:39,000","00:14:40,000",طب أنت
"00:14:40,000","00:14:42,000",إيه الجرين فلاكز اللي أنا هشوفها فيك
"00:14:42,000","00:14:43,000",فهبقى عايزة بقى معيك
"00:14:43,000","00:14:44,000",أنا لو كنت في علاقة
"00:14:46,000","00:14:48,000",الاهتمام عندها يكون عالي
"00:14:48,000","00:14:49,000",ما أحب النكد
"00:14:49,000","00:14:50,000",طول الوقت كلام بوزيتف
"00:14:50,000","00:14:51,000",ودلع وفرفشة وكده
"00:14:51,000","00:14:52,000",بتدلع بقى
"00:14:52,000","00:14:53,000",أكيد طبعاً
"00:14:53,000","00:14:55,000",أي نوع الدلع اللي أنت بتدلعه بقى
"00:14:55,000","00:14:55,000",كلام حلو
"00:14:55,000","00:14:56,000",صباح الخير
"00:14:56,000","00:14:57,000",مساء الخير
"00:14:59,000","00:14:59,000",هاي
"00:14:59,000","00:15:01,000",إزايك عمل إيه
"00:15:01,000","00:15:02,000",دلع ده
"00:15:02,000","00:15:03,000",إيه كده دلع بالكلام يعني فهم
"00:15:03,000","00:15:03,000",بوزيتف ده
"00:15:03,000","00:15:05,000",أيوة صباح الخير
"00:15:05,000","00:15:06,000",أيوة
"00:15:06,000","00:15:07,000",أيوة الله
"00:15:07,000","00:15:09,000",إيش لفروض دلع يكون غير إيش يعني زيش
"00:15:09,000","00:15:11,000",لا هي صباح الخير ده كده
"00:15:11,000","00:15:12,000",عايز إيه بالدنيا يا ربا
"00:15:12,000","00:15:14,000",لا فيه كلمات فيه أشياء ما ينفعقولها يعني كده
"00:15:14,000","00:15:15,000",ما ينفعش
"00:15:16,000","00:15:17,000",مستحي
"00:15:17,000","00:15:18,000",إيش الجريم فلاكس اللي فيك
"00:15:18,000","00:15:21,000",هشجعك على أن أنت بقى
"00:15:21,000","00:15:23,000",حتى لو أنا مش مقتنعة
"00:15:23,000","00:15:25,000",بمثلاً موضوع التيك توك وكده
"00:15:25,000","00:15:28,000",بس هي حاجة مهمة بالنسبة لك
"00:15:28,000","00:15:29,000",فأنا هشجعك عليها
"00:15:29,000","00:15:30,000",في ذمتك
"00:15:30,000","00:15:31,000",شي مرة أنا كويس فيه
"00:15:31,000","00:15:33,000",كيف ما أنت مقتنعة فيه
"00:15:33,000","00:15:34,000",أنا ما بحبش تيك توك
"00:15:34,000","00:15:35,000",أنت عكسي
"00:15:40,000","00:15:42,000",أن أنت قررت أن أنا مش شاطرة في التمثيل
"00:15:42,000","00:15:44,000",وإنت قلتيلي في البداية أنا ممثلة
"00:15:44,000","00:15:46,000",بعدين قلتلي أنا لسه بدأت بحبي
"00:15:46,000","00:15:47,000",لا بتحبي
"00:15:47,000","00:15:48,000",يعني تعرف مثلاً مين جاء في بالي
"00:15:48,000","00:15:49,000",مين
"00:15:49,000","00:15:50,000",هانا الزاهد مثلاً
"00:15:50,000","00:15:51,000",خلاص هادي إيش حاجة
"00:15:51,000","00:15:51,000",إيش هي تقول لها دي
"00:15:51,000","00:15:52,000",مش
"00:15:53,000","00:15:54,000",بس طلعت هانا الزاهد بتحبي
"00:15:54,000","00:15:56,000",يعني أنا ببدأ آه
"00:15:56,000","00:15:57,000",بس أنا بمثل
"00:15:57,000","00:16:00,000",وبعدين يعني من سنة مثلاً قبل ما بدأ أمثل
"00:16:00,000","00:16:03,000",كنت لسه بقى بحاول أمثل
"00:16:03,000","00:16:04,000",سنة بتحاول تمثلي
"00:16:04,000","00:16:06,000",لا مش سنة ست سنين
"00:16:06,000","00:16:07,000",ست سنين بتحاول تمثلي
"00:16:07,000","00:16:08,000",وبتحبي
"00:16:08,000","00:16:09,000",آه
"00:16:09,000","00:16:10,000",ليه بتحبي طيب
"00:16:10,000","00:16:10,000",وقف حبي
"00:16:10,000","00:16:11,000",أنا هو بمثله
"00:16:11,000","00:16:13,000",ماربنا كرمني
"00:16:13,000","00:16:16,000",يعني إذا فيه اسم مرة كبيرة اشتغلتي معاه نايس
"00:16:16,000","00:16:17,000",آيوه فيه
"00:16:17,000","00:16:17,000",والله
"00:16:18,000","00:16:18,000",كيب جوينغ
"00:16:19,000","00:16:20,000",خلاص إيوه صح طيب
"00:16:20,000","00:16:21,000",إنت كده شاطرة
"00:16:21,000","00:16:22,000",إنت بتقوللي ما إنت شاطرة
"00:16:22,000","00:16:23,000",إنت بتقوللي من نفسك
"00:16:23,000","00:16:24,000",مو أنا
"00:16:24,000","00:16:25,000",أنا على حسب طريقة كلامك
"00:16:25,000","00:16:28,000",يا حوا على الحيط أضيع على وشك
"00:16:28,000","00:16:30,000",أنا بقلل من نفسي
"00:16:30,000","00:16:31,000",أنا عمالة بحاول أثبت لك
"00:16:31,000","00:16:34,000",إن أنا أستحق أجرب
"00:16:34,000","00:16:35,000",برضو بتجيب العيت بنفسك
"00:16:35,000","00:16:37,000",اللي يستحق ما يجرب
"00:16:37,000","00:16:38,000",هم الناس اللي يجوا يكلموني
"00:16:38,000","00:16:39,000",يقولوله تعال
"00:16:39,000","00:16:40,000",إنت ما تجرب هم اللي يفتوكوا
"00:16:40,000","00:16:41,000",يعني إنت أول مرة دخلت
"00:16:41,000","00:16:43,000",إنت أول مرة دخلت ملعب بادل
"00:16:43,000","00:16:46,000",دخلت خلاص كسبت الماتش
"00:16:46,000","00:16:47,000",بالبراكتس حقي
"00:16:47,000","00:16:48,000",صاروا الناس يكلموني
"00:16:48,000","00:16:49,000",آيوه
"00:16:49,000","00:16:50,000",امسك كلمة راجل
"00:16:50,000","00:16:51,000",إنت شافة إنت نفس بعيدة
"00:16:51,000","00:16:52,000",إنت مفضحت إنت
"00:16:53,000","00:16:54,000",إذا ما تعمل ليش كده
"00:16:54,000","00:16:55,000",إنت مفضوحة
"00:16:55,000","00:16:55,000",إيه
"00:16:55,000","00:16:57,000",فضحتي نفسي قلت إنك إنت نفسك صديقة
"00:16:58,000","00:17:00,000",أنا مسكة نفسي عنك بالعافية
"00:17:00,000","00:17:00,000",ليه
"00:17:00,000","00:17:02,000",بقى هطلعلك المصريين اللي جوا
"00:17:02,000","00:17:04,000",أوريك ما هالمصريين عاملين إزاي
"00:17:04,000","00:17:06,000",إهدى بقى كده واسمع
"00:17:06,000","00:17:08,000",قلت هنبراكتس
"00:17:08,000","00:17:10,000",إنت دخلت الملعب
"00:17:10,000","00:17:11,000",إيه عملت إيه
"00:17:11,000","00:17:12,000",حسيت نفسي والله موهوب
"00:17:12,000","00:17:14,000",إنت مولود بتلعب بادل
"00:17:14,000","00:17:15,000",حسيت نفسي
"00:17:15,000","00:17:17,000",وأنا حشت نفسي موهوبة يا أخي سيبني
"00:17:17,000","00:17:20,000",بس يا أختي إنت لكي 6 سنوات
"00:17:20,000","00:17:21,000",6
"00:17:21,000","00:17:23,000",أنا لو لي 6 سنوات في البادل وما سويت شي فيه ليش
"00:17:23,000","00:17:25,000",إذا ما لقيت منه فلاح أمشي
"00:17:25,000","00:17:27,000",لازم تتعلمي متى ترحلي من الشي
"00:17:27,000","00:17:28,000",يعني لازم تعرف الوقت المناسب
"00:17:28,000","00:17:30,000",أنا فعلاً محتاج أرحل
"00:17:30,000","00:17:32,000",فعلاً محتاج أرحل
"00:17:33,000","00:17:35,000",والله أنا معطيكي الرقم ده عشان مرة ضحكت
"00:17:35,000","00:17:37,000",مرة مرة أنا قاعد أضحك ترى
"00:17:37,000","00:17:39,000",جوتي كمان قاعد أضحك أنا إنت حين
"00:17:39,000","00:17:40,000",كم عطيتني
"00:17:42,000","00:17:43,000",أنا أمشي معك كده بقى
"00:17:53,000","00:17:55,000",بص أنا فهمتهم بيعملوا إيه عمّة
"00:17:55,000","00:17:57,000",هم بينزلولي أكلة سعودي
"00:17:57,000","00:17:59,000",وبينزلولك مصري تقريباً
"00:17:59,000","00:17:59,000",حصل
"00:17:59,000","00:18:01,000",فتعالي نسويتش كده
"00:18:01,000","00:18:01,000",شان أنا كمان
"00:18:01,000","00:18:02,000",ليش على طول كده طب جرب
"00:18:02,000","00:18:04,000",أنا ما بأكلش لحمة
"00:18:04,000","00:18:04,000",إيش ده؟
"00:18:04,000","00:18:05,000",كبسة
"00:18:06,000","00:18:08,000",أنا الدوني
"00:18:09,000","00:18:09,000",إيش تتوقعي؟
"00:18:09,000","00:18:11,000",أقوى أكلة مصرية في العالم
"00:18:11,000","00:18:12,000",ملوخية
"00:18:12,000","00:18:12,000",غلط
"00:18:13,000","00:18:14,000",أنت كلت؟
"00:18:14,000","00:18:14,000",أنت لحقت تأكل؟
"00:18:14,000","00:18:16,000",لا والله ما كلت بس حطيت الشوك
"00:18:16,000","00:18:16,000",ماشي هات
"00:18:16,000","00:18:17,000",خديها يلا
"00:18:17,000","00:18:17,000",هات يا عم
"00:18:18,000","00:18:19,000",خلاص خلاص
"00:18:20,000","00:18:21,000",أمزح أمزح
"00:18:21,000","00:18:22,000",خلي الاثنين عندك
"00:18:22,000","00:18:22,000",خدي خدي خدي
"00:18:22,000","00:18:24,000",طيب إيش طلال لنا داحين؟
"00:18:24,000","00:18:25,000",ويدينج ها
"00:18:27,000","00:18:28,000",مستحيل يصير
"00:18:28,000","00:18:29,000",في أحلامك
"00:18:29,000","00:18:31,000",طيب لا نتكلم من جد داحين
"00:18:31,000","00:18:32,000",في الويدينج
"00:18:32,000","00:18:33,000",مين يشيل الليلة؟
"00:18:33,000","00:18:34,000",النص بالنص
"00:18:34,000","00:18:35,000",كده أغير رأيه
"00:18:35,000","00:18:37,000",حتى لو أنت مثلة شاطرة تقدر تمثلي
"00:18:37,000","00:18:39,000",كل الشي خصها الويدينج
"00:18:40,000","00:18:41,000",يسويه الولد
"00:18:41,000","00:18:42,000",هي بس تختار
"00:18:42,000","00:18:43,000",في وقت الزواج
"00:18:43,000","00:18:45,000",ماشي عم أنت كريم ماشي
"00:18:45,000","00:18:46,000",مو هرجة كريم ولا مكريم
"00:18:46,000","00:18:46,000",هذا الصح
"00:18:46,000","00:18:47,000",اللي يقول غير كده ما يفهم
"00:18:47,000","00:18:48,000",ليش في النص بالنص؟
"00:18:48,000","00:18:50,000",ليش تحس فيه ناس يقولوا النص بالنص؟
"00:18:50,000","00:18:51,000",مشاركة يعني
"00:18:51,000","00:18:51,000",مشاركة؟
"00:18:51,000","00:18:53,000",حياتي بتبقى مشاركة
"00:18:53,000","00:18:54,000",هو زواجه مرة واحدة في الحياة
"00:18:54,000","00:18:56,000",خلاص الماديات في الفرح
"00:18:56,000","00:18:58,000",الولد يشيلها كاملة
"00:18:58,000","00:18:59,000",حاض
"00:18:59,000","00:18:59,000",كلها
"00:19:00,000","00:19:01,000",أنت تشوفي غير كده؟
"00:19:01,000","00:19:02,000",أنا برأي معاك
"00:19:02,000","00:19:03,000",أنت إيه اللي بتكون عكسي بالكلام؟
"00:19:03,000","00:19:04,000",أنت عاجبك الكلام
"00:19:04,000","00:19:05,000",لماذا بتكون عكسي؟
"00:19:05,000","00:19:06,000",أنت مش عايز تتساعد
"00:19:06,000","00:19:07,000",أنا عم بيلك إيه؟
"00:19:07,000","00:19:07,000",تمام
"00:19:07,000","00:19:08,000",بتساعديني؟
"00:19:08,000","00:19:09,000",ساعديني بعد الزواج
"00:19:09,000","00:19:09,000",لا إيه؟
"00:19:09,000","00:19:11,000",اشتريلي هدايا بالعكس
"00:19:11,000","00:19:13,000",انت هو ده سيستم بتاعك
"00:19:13,000","00:19:15,000",بتبدأ اللي هو بتدحل بالواحد
"00:19:15,000","00:19:17,000",وبعدين تديله على دماغه
"00:19:18,000","00:19:18,000",ما هي كده؟
"00:19:18,000","00:19:19,000",الأول هاي
"00:19:19,000","00:19:21,000",آه لذيذ جميل محترم بتاعه
"00:19:21,000","00:19:22,000",بعدين إيه؟
"00:19:23,000","00:19:24,000",أنا محترم
"00:19:24,000","00:19:25,000",أيوة أنت محترم أنا مش قارن
"00:19:25,000","00:19:26,000",محترمين؟
"00:19:26,000","00:19:26,000",خمسة
"00:19:26,000","00:19:27,000",ماشي حل
"00:19:27,000","00:19:30,000",أنت في الأول بتبقى داخل كده هاذي وجميل
"00:19:30,000","00:19:31,000",وبعدين بتوري بقى وش تاني
"00:19:31,000","00:19:32,000",والله العظيم
"00:19:32,000","00:19:33,000",دلوقتي إيه
"00:19:33,000","00:19:35,000",لا أنا هاصرف أنا على الفرح كله
"00:19:35,000","00:19:36,000",وبعدين بعد الجهوز بقى هاذي
"00:19:36,000","00:19:38,000",أنت داحين قلتي تبغي مشاركة صح؟
"00:19:38,000","00:19:39,000",بجامع؟
"00:19:39,000","00:19:40,000",مشاركة
"00:19:40,000","00:19:41,000",ما أبغى بجامع إيش؟
"00:19:41,000","00:19:42,000",أبغى بالبجامع
"00:19:42,000","00:19:43,000",ما عرفش إنه
"00:19:43,000","00:19:44,000",الواحد يبغى مشاركة
"00:19:44,000","00:19:46,000",قلت لك الأشياء الحلوة إنك تسويها
"00:19:46,000","00:19:47,000",تيجي مناسبة كويسة
"00:19:47,000","00:19:50,000",جيبي لها هدية دا منك تحب إنك تسوي شي معاهم
"00:19:50,000","00:19:51,000",دي المشاركة من وجهة
"00:19:51,000","00:19:53,000",بس البنت المفروض في الماديات ما تتدخل ولا في شي
"00:19:53,000","00:19:54,000",خلاص كل شي يسويه الولد
"00:19:54,000","00:19:57,000",أنا برضو كل ما بحاول أساعد أنت مش عاجبك تمام
"00:19:57,000","00:19:59,000",لا مادياتك ساعد نفسك بيها
"00:19:59,000","00:19:59,000",ما تساعديني
"00:20:01,000","00:20:05,000",طيب منه ما شاء الله في التمثيل بنمشي وزي كده وبنأحبه وبنتحرك وبنمهم
"00:20:05,000","00:20:07,000",التمثيل بيسوي فلوس كويسة؟
"00:20:07,000","00:20:11,000",والله ست سنين كمان وممكن يجيب فلوس أصلا
"00:20:11,000","00:20:14,000",ست سنين كمان؟ غير الست سنين اللي بديت فيها؟
"00:20:15,000","00:20:16,000",عشان الصبر
"00:20:16,000","00:20:17,000",الصبر
"00:20:17,000","00:20:18,000",والباشن
"00:20:20,000","00:20:21,000",أيوة أيوة أيوة صح
"00:20:21,000","00:20:23,000",والله ست سنين اللي راحت هاد يار
"00:20:23,000","00:20:24,000",يعني إن شاء الله الله يعطيك على قد نيتك
"00:20:24,000","00:20:25,000",خسارة من أمري آه
"00:20:25,000","00:20:26,000",الله يعطيك على قد نيتك
"00:20:26,000","00:20:28,000",طيب خلينا في الودين
"00:20:28,000","00:20:30,000",إنت عايز تعمل فرح كبير قد إيه؟
"00:20:30,000","00:20:31,000",اللي هتتفعل وحدك
"00:20:31,000","00:20:34,000",شوفي هذه الليلة هتكون مرة وحدة في حياتي
"00:20:35,000","00:20:36,000",لازم أفجرها
"00:20:36,000","00:20:38,000",مش إيه بقى التفجير اللي إنت هتفجره ده؟
"00:20:38,000","00:20:40,000",كل الناس اللي عارفهم هيحضروا الفرح
"00:20:40,000","00:20:43,000",هجيب مغنين مرة كويسين يغنوا عندي في الفرح
"00:20:43,000","00:20:44,000",زي مين؟
"00:20:44,000","00:20:45,000",عبدالمجيد عبدالله تايفي عبدالمجيد عبدالله؟
"00:20:46,000","00:20:47,000",إن شاء الله إني ألحق عليه
"00:20:47,000","00:20:50,000",لأنه فجأة يعتزل وفجأة يرجع زي كل أشياء
"00:20:50,000","00:20:53,000",وعندنا كمان هجيب عمرو دياب تامر حسني
"00:20:53,000","00:20:55,000",إنت هجيب عمرو دياب وإيه تامر حسني؟
"00:20:55,000","00:20:57,000",تامر حسني لا نفسي أصير صاحب وأجيب الفرح فهمتي؟
"00:20:58,000","00:21:03,000",الفرح صح تبغي يكون ميكس ولا يكون بنات بس وولاد بس؟
"00:21:03,000","00:21:05,000",استنى بس عشان إحنا هنا بقى إيه
"00:21:05,000","00:21:07,000",هو ممكن ما يبقىش ميكس؟
"00:21:07,000","00:21:10,000",هو أكيد مش هيبقى ميكس منتهي الكلام هذا
"00:21:10,000","00:21:12,000",هو إنت بتسألني عن رأيي
"00:21:12,000","00:21:16,000",بس انت مقرر بس بتسألني عشان يبقى اسمك سأل تاني
"00:21:16,000","00:21:18,000",هنسأل عن رأيي مو قلنا هنفجرها؟
"00:21:18,000","00:21:21,000",هنفجرها انت لوحدك وأنا زي ما احنا عادين كده
"00:21:21,000","00:21:23,000",نبقى في المية ونتقابل بإذن الله الساعة 2
"00:21:23,000","00:21:26,000",بس بعد ما نخلص الناس وأنغام تكون رجعت بيتها
"00:21:26,000","00:21:27,000",هجيب أنغام عند البنات
"00:21:27,000","00:21:29,000",هتجيب أنغام عند البنات؟
"00:21:29,000","00:21:30,000",فيه فرح بنات وفيه فرح وولاد
"00:21:30,000","00:21:33,000",الفرس دانس حروس مع مين مع أنغام؟
"00:21:33,000","00:21:36,000",ايش الفرس دانس هذي شفتي عداته تقاليد بدنا نختلف
"00:21:36,000","00:21:39,000",يعني العريس والعروسة بيدخلوا الفرح لأول العروسة وبتدخل
"00:21:39,000","00:21:40,000",هذي تعرفش اسمها الزفة
"00:21:40,000","00:21:41,000",هتزف الواحدة
"00:21:42,000","00:21:43,000",اسمحي طب اسمعيني أقولك الزفة دي ايش
"00:21:43,000","00:21:44,000",طب ما ينصح لي عداته التقاليد
"00:21:44,000","00:21:46,000",الزفة الولد هيدخل عند البنات
"00:21:46,000","00:21:50,000",كل الإضاءات سبوت لايت على الولد مستحيل يشوف الناس بإذن الله
"00:21:50,000","00:21:51,000",بس تريق علينا وهذا الشيء مهم
"00:21:52,000","00:21:55,000",طب وليه البنت ما تدخلش عند الولاد ونحط سبوت لايت في وشا
"00:21:55,000","00:21:57,000",حطي نفسك في الموقف دي ايش تحسي وقتها
"00:21:57,000","00:22:00,000",بنتي ورقة هتكوني وسط كل الولاد اللي هيكونوا فرحة للولاد
"00:22:00,000","00:22:02,000",أنا إذا دخلت أنا ما هشوف ولا أحد
"00:22:02,000","00:22:04,000",ليه أنت تيجي فرحي وأنا ما أروحش فرحك
"00:22:04,000","00:22:06,000",افرض أنا عايز أسمع عمرو دياب يا أخي
"00:22:06,000","00:22:10,000",يا أبوي هنحطلك ستيريو هنحطلك صوت عمرو دياب عندك في النادي
"00:22:10,000","00:22:12,000",ما شغلوا على الراديو أحسن فيه إيه
"00:22:12,000","00:22:13,000",فكرة برضو ترى والله حلوة
"00:22:13,000","00:22:15,000",أنت غريب قوي عرفي أنت مستخز
"00:22:15,000","00:22:18,000",هي هيك خلاص أول فرح المفروض يعني عند الذكر
"00:22:18,000","00:22:20,000",طب أنت جاي هنا ليل نهاردة
"00:22:20,000","00:22:21,000",والله ما أعرف
"00:22:21,000","00:22:26,000",كان معك تيكل طيارة مفر زيادة فقلت أستخدمها يعني
"00:22:26,000","00:22:27,000",أنا داحين صرت ما أعرف
"00:22:27,000","00:22:28,000",أنت تعبتني
"00:22:28,000","00:22:29,000",أنا بدأت أحرر
"00:22:29,000","00:22:31,000",طب أنتو هتعملوا إيه فرح الرجالة دا
"00:22:31,000","00:22:33,000",عمرو دياب تامر حسني عبدالنجيد عبدالله
"00:22:33,000","00:22:36,000",ونحن نقعد نرقص إلين وقت الزفة
"00:22:36,000","00:22:37,000",وقت الزفة
"00:22:42,000","00:22:44,000",هي الفرح بيبدأ بالزفة
"00:22:44,000","00:22:45,000",وبعدين الفرس دانس
"00:22:45,000","00:22:48,000",وبعدين الصحاب بيدخلوا بنرقص كلنا مع بعض
"00:22:48,000","00:22:51,000",يعني أصحاب يرقصوا مع صحاباتك زي كده تحسي
"00:22:51,000","00:22:53,000",يمكن واحدة تلاقي عريس زيك كده جميل
"00:22:53,000","00:22:55,000",أميزيك أميزيك أميزيك أميزيك
"00:22:55,000","00:22:56,000",مستحيل
"00:22:58,000","00:23:01,000",أنت ليه عايز تعمل فرح مع صحابك الرجالة دول
"00:23:01,000","00:23:02,000",وإنت ممكن تخرج معاك
"00:23:02,000","00:23:03,000",إحنا كده
"00:23:03,000","00:23:04,000",وأنا كده بقى
"00:23:04,000","00:23:06,000",طب ما تروح حفلة العمرو دياب
"00:23:06,000","00:23:08,000",حلو برضو عادي بس حلو إنه حيجي فرحة فهمتي
"00:23:08,000","00:23:09,000",آه هو جاي لك مخصوص بقى
"00:23:09,000","00:23:11,000",إيه وحتكون مرة ماميري جامدة
"00:23:11,000","00:23:12,000",الإيجو بتاك
"00:23:12,000","00:23:13,000",ليه إيجو
"00:23:13,000","00:23:14,000",ما عندي إيجو
"00:23:14,000","00:23:15,000",آه صحيح
"00:23:15,000","00:23:16,000",والله ما عندي
"00:23:16,000","00:23:17,000",عمرو دياب جاي فرحة مرة رسول
"00:23:17,000","00:23:18,000",عمل كومبو كونسرت
"00:23:18,000","00:23:20,000",عمرو دياب تمرحزني
"00:23:20,000","00:23:21,000",عبد المجيد عبد الله
