Start Time,End Time,Sentence,Translation,Emotion
"00:07:32,000","00:07:33,000",أسألك جاوبيني قول إيه وإلا لا,"I ask you, answer me, say yes or no.",neutral
"00:07:33,000","00:07:36,000",لا هو طب الأسنان هيتيح لو إنت ما,"No, it's dentistry. It'll make it possible if you don't.",anger
"00:07:36,000","00:07:38,000",أقدر أسيب لك طب الأسنان,I appreciate the manner in which your dentistry is.,anger
"00:07:38,000","00:07:39,000",بس بسألك ده,I'm just asking you this.,neutral
"00:07:39,000","00:07:41,000",السينما حططيح إذا إنت ما مثلتي؟,So you're what you're like?,neutral
"00:07:41,000","00:07:42,000",هططيح أوه,- Ruined. - Oh.,neutral
"00:07:42,000","00:07:44,000",خلاص ورب الكعبة تمثلي,Get rid of the Lord of the Cup.,neutral
"00:07:44,000","00:07:45,000",يا أخي إنت ما زال في الوضع,"Brother, you're still in position.",neutral
"00:07:45,000","00:07:47,000",إذا إنت لديك درجة مهمة والله تمثلي,"So you have an important degree, and God represents me.",anger
"00:07:48,000","00:07:50,000",بس إذا تمثيلك يعني,But if your acting means,neutral
"00:07:50,000","00:07:51,000",in general,in general,neutral
"00:07:51,000","00:07:52,000",هاه,Huh.,neutral
"00:07:52,000","00:07:53,000",حنحاول إنه إيش,We're trying. It's Aish.,neutral
"00:07:53,000","00:07:55,000",يعني على حسب أنا شطرة ولا لا,It means whether I'm a part or not.,neutral
"00:07:55,000","00:07:56,000",إذا إنت لكي قيمة مرة كبيرة,So you're worth a lot.,neutral
"00:07:56,000","00:07:57,000",عادي كمل التمثيل,Regular acting-up.,neutral
"00:07:57,000","00:07:59,000",ما عشان يبقى لي إيمان لازم أبدأ,I don't have much faith to begin with.,neutral
"00:07:59,000","00:08:00,000",إنت داحين قلتي ما بدأتي,You're a jerk. You said what you started.,neutral
"00:08:01,000","00:08:03,000",مين أنا أنا ما قولتش إن أنا ما بدأت,Who am I? I'm not saying if I'm starting.,neutral
"00:08:03,000","00:08:04,000",إسألوا ما تخبرش على الطراويزة,Ask what you're talking about on the trojan.,neutral
"00:08:04,000","00:08:06,000",أنا ما قولتش إن أنا ما بدأتش,I'm not saying if I'm starting to...,neutral
"00:08:06,000","00:08:08,000",إلا إنت قلتي لي ما بدأتي دوب,"Unless you tell me what you started, Dob.",neutral
"00:08:08,000","00:08:09,000",أنا قلت كده,I said so.,neutral
"00:08:09,000","00:08:10,000",إنت ما قلتي بس يعني,You're what you said. It means...,neutral
"00:08:10,000","00:08:12,000",إنت حسيت إن أنا مش موجوه,You felt that I didn't mean it.,neutral
"00:08:12,000","00:08:14,000",ما بدأتش كرير التمثيل بتاعي,You never started acting like me.,neutral
"00:08:14,000","00:08:15,000",كيف السينما حطيح,How are the movies broken?,neutral
"00:08:15,000","00:08:17,000",إذا إنت ما جربت تمثلي,If you haven't tried acting...,neutral
"00:08:17,000","00:08:18,000",مين قال لك إن أنا مجربت,Who told you that I tried?,neutral
"00:08:18,000","00:08:19,000",إنت قلتي,You said...,neutral
"00:08:19,000","00:08:21,000",إزاي بقى بدأني التمثيل,Izzy stayed. I started acting.,neutral
"00:08:21,000","00:08:22,000",وأنا ما جربتش,And I'm not Grepitch.,neutral
"00:08:22,000","00:08:23,000",إزاي,Izzy.,neutral
"00:08:23,000","00:08:25,000",عشان تعرف إن أنا اتنازل عند أشياء عادي,For you know I'm condescending to normal things.,anger
"00:08:25,000","00:08:27,000",هذا الموضوع حمي الشيء أسوي نفسي ما سمعت,That's the thing that's warmed me up to what I've heard.,anger
"00:08:27,000","00:08:28,000",ليه ما تسمع وترد علي,Why do you listen to me and answer me?,neutral
"00:08:28,000","00:08:29,000",زي ما أتكلمك,Like what I'm talking about.,neutral
"00:08:31,000","00:08:32,000",مين اللي متلخبط,Who's messed up?,neutral
"00:08:32,000","00:08:33,000",إنت ده حين السينما حطيح بدونك,You're the same when the movies are broken without you.,anger
"00:08:34,000","00:08:37,000",كيف حتعرف مستواك إذا إنت ما جربت,How do you know if you haven't tried?,neutral
"00:08:37,000","00:08:38,000",والله لا أستطيع تمثل,"And God, I can't act.",neutral
"00:08:38,000","00:08:39,000",طب اسمع إنت حلو,"Oh, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah.",anger
"00:08:39,000","00:08:39,000",مو بتدرب الأطفال,Moe's a kid rehearsal.,neutral
"00:08:39,000","00:08:40,000",بدرب أطفال,With a babysitter.,neutral
"00:08:40,000","00:08:42,000",والله مرة نايس,"And God, once, Nate...",neutral
"00:08:42,000","00:08:43,000",طب الحمدلله,"Oh, thank God.",neutral
"00:08:43,000","00:08:44,000",ما عندنا مشكلة,We don't have a problem.,neutral
"00:08:44,000","00:08:47,000",هو إنت ليه قلت انترستينج في الأول على إن أنا ممثلة,I said Intersting first because I'm an actress.,anger
"00:08:47,000","00:08:49,000",وجاي دلوقتي تبنع الحياة,"And Jay, now that I'm invincing life,",neutral
"00:08:49,000","00:08:50,000",رد علي,Answer me.,neutral
"00:08:50,000","00:08:52,000",لأن بشوف اللايفستايل كيف حيمشي وكذا,"'Cause by the face of the lavastile, it's how it's gonna go, and so on.",anger
"00:08:52,000","00:08:54,000",وشوفتي وصلت للمرحلة معينة,"You see, I'm at a certain point.",neutral
"00:08:54,000","00:08:55,000",يعني فاهمك كيف,"I mean, you understand how...",neutral
"00:08:55,000","00:08:58,000",آه إنه وصلت بقى المرحلة بتبني حياة معايا,"Ah, it's arrived the rest of it by building a life with me.",anger
"00:08:58,000","00:08:59,000",فلا دلوقتي بقى,I don't have time.,neutral
"00:08:59,000","00:09:01,000",هتتغيري عشاني,You're gonna change for me.,neutral
"00:09:03,000","00:09:05,000",إذا إنتي مرة شاطرة في التمثيل,So you're an actress once.,neutral
"00:09:05,000","00:09:08,000",يا أستاذ أنا شايفة نفسي شاطرة,"Professor, I'm a sandwich myself.",neutral
"00:09:08,000","00:09:09,000",إنت مش شايفني شاطرة,You're not a Shafani Shafani.,neutral
"00:09:09,000","00:09:09,000",أنا مش شاطرة,I'm not a partner.,neutral
"00:09:09,000","00:09:11,000",مين اللي عم يحدر شطارتي,What's wrong with my sandwich?,neutral
"00:09:11,000","00:09:12,000",الناس هتحدد شطارتك,People are gonna set you up.,neutral
"00:09:12,000","00:09:15,000",مثلاً عادي الإمام لو وقف كله نحن تجنن,"For example, if he stops all of us, we're going crazy.",anger
"00:09:15,000","00:09:16,000",أنا هسألك سؤال,I'll ask you a question.,neutral
"00:09:16,000","00:09:19,000",إنت قدي إيه شاطر في التيك توك اللي إنت بتعمله ده,You drive a fucking tick tok that you're doing.,anger
"00:09:19,000","00:09:22,000",أنا شاطر عندي متابعين كثير والله,I have a lot of followers. God.,neutral
"00:09:22,000","00:09:23,000",كم يعني,How much does that mean?,neutral
"00:09:23,000","00:09:24,000",عندي 4.5 مليون,I have 4.5 million.,neutral
"00:09:24,000","00:09:26,000",تبرافو ماشي,Tpravo Machi.,neutral
"00:09:26,000","00:09:27,000",أنا بقى عايزك تبطل تيك توك,I still want you to break Ticktock.,neutral
"00:09:27,000","00:09:29,000",إنتي قوليلي بادل مثلاً,"You're, like, Goldie Buddle.",neutral
"00:09:29,000","00:09:30,000",قوليلي إنت قدي إيه شاطر في البادل,"Say, you drive, you're a badass.",neutral
"00:09:30,000","00:09:31,000",قدي شاطر في البادل,Drive a pair of buddies.,neutral
"00:09:31,000","00:09:32,000",فيه potential,It has potential.,neutral
"00:09:32,000","00:09:33,000",يبقى تبطل,It's still broken.,neutral
"00:09:33,000","00:09:36,000",لا نعمل مارش ونجيب دخول,We don't do Marsh and we get access.,neutral
"00:09:36,000","00:09:40,000",ونشوف بقى أنت تستحق أنك تقف في الملعب وتمسك مضرب ولا لا,You deserve to stand on the field and hold on to a bat or not.,anger
"00:09:40,000","00:09:41,000",نجيبه,Answer him.,neutral
"00:09:41,000","00:09:43,000",لو خسرت مش هتمسك مضرب تاني في الحياة,"If you lose, you'll never catch another bat in life.",anger
"00:09:43,000","00:09:44,000",إذا خسرت من مين؟ أي أحد؟,"If you lose from Maine, anyone?",neutral
"00:09:44,000","00:09:46,000",من الميارات 2 اللي قدامك,Out of the 2-by-twos in your footsteps.,neutral
"00:09:46,000","00:09:47,000",على حسب مين حقي,Depending on who I'm entitled to.,neutral
"00:09:47,000","00:09:48,000",يعني فأنتي كمان لا تجيجي تقوليها,"I mean, you're a violin. You don't have to say it.",anger
"00:09:48,000","00:09:50,000",هلعب ضدك كريستياني وميسي مثلاً,"He freaked out against you, Christiane and Missy, for example.",anger
"00:09:50,000","00:09:51,000",تبقى أنا قلت سؤال تاني,There's still one more question I said.,neutral
"00:09:51,000","00:09:52,000",لا فعليش فيه سؤال تاني,I don't want to ask him another question.,anger
"00:09:52,000","00:09:53,000",اتفضل,Here you go.,neutral
"00:09:53,000","00:09:56,000",إنت هتقارني في التمثيل بمين عشان تعرف أنه شاطر ولا لا,You're comparing me to Maine because you know it's a good thing he's not.,anger
"00:09:56,000","00:09:58,000",أنا ما هقارنك والله ولا في أحد,"I'm nothing compared to you, God, and nobody.",neutral
"00:09:58,000","00:10:00,000",هجعد معاكي أقولك شوفيه,Crawl with you. I'll tell you what.,neutral
"00:10:00,000","00:10:01,000",اه انتي مش شاطرة,"Oh, you're not.",neutral
"00:10:01,000","00:10:03,000",لا والله هقوليك شاطرة طول الوقت,"No, and God forbid you're a part of it all the time.",neutral
"00:10:03,000","00:10:04,000",بس اللي لازم تبقى حزين,But what you have to do stays sad.,neutral
"00:10:04,000","00:10:06,000",يعني مثلاً جاك يوفر دي حين من فيلم مرة يحزن,"It means, for example, Jack Saves Dee when he's in a sad movie once.",anger
"00:10:06,000","00:10:08,000",ليش يخليك تروحي,Don't let you take it easy.,neutral
"00:10:08,000","00:10:09,000",ليش يطلع شكلك بايخ,Why don't you look like shit?,neutral
"00:10:09,000","00:10:11,000",بس مثلاً في الجهة الثانية,Just like on the other side.,neutral
"00:10:11,000","00:10:13,000",جاك فيلم البطل حقه عادي الإمام,"Jack, the hero's film is his usual right, the imam.",neutral
"00:10:13,000","00:10:15,000",أقسم رب نوقع الكونتراكت مع بعض,"I swear to God, we're signing the Connecticut together.",anger
"00:10:15,000","00:10:18,000",والله لا تروحي وأنا أجي وأقعد أتفرج عليكم خلف الكوليس,"And God, don't take it easy, and I'm apologizing, and I'm watching you backstage.",anger
"00:10:18,000","00:10:20,000",أنا مش حبيتك تتفرج علي,I didn't like you watching me.,neutral
"00:10:20,000","00:10:20,000",ليش كده,Don't... don't... don't... don't... don't... don't... don't... don't... don't.. don't... don't...,neutral
"00:10:20,000","00:10:22,000",أنا دلوقتي عايز أمثل,I just want to act.,neutral
"00:10:22,000","00:10:23,000",شفتي أنت ما بدأت,My lips. You never started.,neutral
"00:10:23,000","00:10:24,000",اسمعني,Listen to me.,neutral
"00:10:24,000","00:10:26,000",التفل عشان يمشي,He's walking around.,neutral
"00:10:26,000","00:10:27,000",محتاج يعمل إيه,Needed to work.,neutral
"00:10:27,000","00:10:27,000",يرقص,Dancing.,neutral
"00:10:27,000","00:10:30,000",أكيد هيمشي يعني يجوم يحبي ويتحرك وفعما يمشي,"He's got to be mean, he's like, he's like, he's like, he's like, ""hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, he",anger
"00:10:30,000","00:10:32,000",محتاج يمشي خطوات الأول إيه,"Needed to walk first steps, eh?",neutral
"00:10:32,000","00:10:33,000",يحبي,He loves me.,neutral
"00:10:33,000","00:10:34,000",وبعدين يمشي,And then he walks.,neutral
"00:10:34,000","00:10:35,000",وبعدين يجري,And then it's running.,neutral
"00:10:35,000","00:10:37,000",فأنا في التمثيل عشان أبقى,I'm in the act because I'm staying.,neutral
"00:10:37,000","00:10:39,000",إن شاء الله أستحق أن أنا أبقى,"God willing, I deserve to stay.",neutral
"00:10:39,000","00:10:41,000",مع ممثل كبير,With a big actor.,neutral
"00:10:41,000","00:10:42,000",هعمل فيلم صغير دور صغير,Make a little movie. Little part.,neutral
"00:10:42,000","00:10:43,000",وبعدين دور أكبر,And then a bigger role.,neutral
"00:10:43,000","00:10:45,000",وبعدين أبقى إن شاء الله بطلة,Then I'll stay if God wills. He's a hero.,anger
"00:10:45,000","00:10:46,000",طيب صح,Okay. Right.,neutral
"00:10:46,000","00:10:48,000",أنت بقى مش هتسمح لي أعمل الفيلم اللي في الأول اللي يحزن,You can't let me do the first movie that's sad.,anger
"00:10:48,000","00:10:50,000",والله إذا فيه potential,"And God, so there's potential.",neutral
"00:10:50,000","00:10:50,000",فأنا مش هعيب,I'm not a liability.,neutral
"00:10:50,000","00:10:54,000",عندي أصلاً الفرصة إن أنا أعمل حاجة أكبر,I already have a chance if I'm doing something more.,anger
"00:10:54,000","00:10:55,000",لأن أنا ما بدأتش,'Cause I never started.,neutral
"00:10:55,000","00:10:57,000",ولا أنت الحاجات بتجي لك مرة واحدة,Nor do you need to come to you once in a while.,anger
"00:10:57,000","00:10:58,000",طيب أديكي خلاصة,"Okay, I'll give you a summary.",neutral
"00:10:58,000","00:10:59,000",والله هذي نهاية النقاش,"And God, that's the end of it.",neutral
"00:10:59,000","00:11:00,000",قررت ماشي,I made up my mind.,neutral
"00:11:00,000","00:11:02,000",إذا عمرك أقل من 23,So you're under 23.,neutral
"00:11:02,000","00:11:04,000",أبدأ يحبي في التمثيل,I'm starting to like acting.,neutral
"00:11:04,000","00:11:05,000",خلاص؟,Get out?,neutral
"00:11:05,000","00:11:06,000",لأنه بعد 23,'Cause after 23...,neutral
"00:11:06,000","00:11:07,000",أنت خلصت الفرص,You've made it out.,neutral
"00:11:07,000","00:11:08,000",المفروض تبدأ من وأنت صغيرة,You're supposed to start when you're little.,neutral
"00:11:08,000","00:11:11,000",أنا بس بحاول أشرح لك من الأول,I'm just trying to explain it to you from the top.,anger
"00:11:11,000","00:11:13,000",إن أنا بدأت أمثل,If I'm starting to act...,neutral
"00:11:13,000","00:11:14,000",الله يوفقك,God bless you.,neutral
"00:11:14,000","00:11:15,000",أنت مرعب,You're scary.,neutral
"00:11:17,000","00:11:19,000",كم يعني كويس بطال ولليش,How good is a hero and a Walliche?,neutral
"00:11:19,000","00:11:20,000",حس مرة بطال,Feel once a hero.,neutral
"00:11:20,000","00:11:21,000",أنت شوفي,You're a healer.,neutral
"00:11:21,000","00:11:22,000",أنت رأيك إف نفسك,You say so yourself.,neutral
"00:11:22,000","00:11:24,000",لما بتبص كده في المرية بتحس بإيه,Why do you look so hard at the gallows with a sense of it?,anger
"00:11:24,000","00:11:25,000",أحس كلامي منطقي,I can feel my words making sense.,neutral
"00:11:25,000","00:11:27,000",يا ربنا يوفقك يا رب,"God bless you, Lord.",neutral
"00:11:27,000","00:11:28,000",آمين,Amen.,neutral
"00:11:37,000","00:11:38,000",نزل لك إيه بقى,He came down for you. What's the rest of it?,neutral
"00:11:38,000","00:11:40,000",أنا نزل لحاجة اسمها بومبار,I came down to need her name is Pumpard.,neutral
"00:11:40,000","00:11:40,000",بومبار؟,Pumpard?,neutral
"00:11:41,000","00:11:42,000",مومبار,Mumbar!,neutral
"00:11:43,000","00:11:44,000",إيه هذي,"Eh, that's...",neutral
"00:11:44,000","00:11:45,000",أنا نزللي مطبق,I'm coming down with a dish.,neutral
"00:11:45,000","00:11:47,000",أنت عارف المومبار ده إيه,You know how the mommaar is.,neutral
"00:11:47,000","00:11:47,000",والله لا,"And God, no.",neutral
"00:11:47,000","00:11:49,000",طيب مش كويس,It's not okay.,neutral
"00:11:49,000","00:11:50,000",طب إنتي دحين أشرحلي إيش المومبار هذا,You're a good doctor. Explain to me. I don't know what the fuck you're doing.,anger
"00:11:50,000","00:11:51,000",لا مش هينفع,"No, it won't.",neutral
"00:11:51,000","00:11:51,000",ليه؟,Why?,neutral
"00:11:51,000","00:11:52,000",كله كله وبعدين,All of it and then...,neutral
"00:11:52,000","00:11:53,000",أمانة إيش,The secretariat of Esh...,neutral
"00:11:53,000","00:11:54,000",إيه؟,Eh?,neutral
"00:11:54,000","00:11:55,000",إيش إيش ده,"- Ahh. - Ahh, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah.",neutral
"00:11:55,000","00:11:57,000",هقولك بس أنت دوق وبعدين قولي رأيك وبعدين,"But you're the Duke, and then you say your mind and then...",anger
"00:11:57,000","00:11:58,000",الله يستر,God's resting.,neutral
"00:11:58,000","00:12:00,000",ماشي أنا هدوق المطبق,"Okay, I'm the tadpole's tadpole.",neutral
"00:12:00,000","00:12:02,000",هو المطبق ده سعودي؟,Is that a Saudi app?,neutral
"00:12:02,000","00:12:03,000",يعتبر إيه وهذا منتشر عندنا,That's what's common to us.,neutral
"00:12:03,000","00:12:05,000",نموذج الجريش اللي المرة اللي فاتت,The grizzly model... the one you missed...,neutral
"00:12:11,000","00:12:12,000",هذا مطبق مالح,That's salty.,neutral
"00:12:12,000","00:12:13,000",خد عايز واحدة,Here's one thing.,neutral
"00:12:16,000","00:12:17,000",تبي مومبارة؟,Tip-Mambora?,neutral
"00:12:17,000","00:12:18,000",لا أنا ما بأكلش لحمة,"No, I don't eat meat.",neutral
"00:12:18,000","00:12:20,000",يا هذا ما فيه له لحم المومبار,"Hey, that's what's got the mumbo bacon in it.",anger
"00:12:20,000","00:12:21,000",هلا فيه له لحم؟,Can he have meat in it?,neutral
"00:12:21,000","00:12:23,000",بالله؟,For Christ's sake?,neutral
"00:12:23,000","00:12:24,000",حلو المومبارة عجبك؟,"Oh, you like the mamboo?",neutral
"00:12:24,000","00:12:25,000",يعني,I mean...,neutral
"00:12:25,000","00:12:26,000",ديه يعني بقى؟,He's got a leftover?,neutral
"00:12:26,000","00:12:27,000",فيه أشياء أطعم,It's got more food in it.,neutral
"00:12:27,000","00:12:29,000",آه صحه ولو,"Oh, yeah, well...",neutral
"00:12:29,000","00:12:30,000",ما يستحقش يبقى أكلة,What's worth is left to eat.,neutral
"00:12:30,000","00:12:32,000",لأنه فيه أحسن منه,Because it's better in it than it is in it.,anger
"00:12:32,000","00:12:33,000",ممكن نتكلم بقى في الموضوع شنقيم؟,"Can we talk about this, Shane?",neutral
"00:12:35,000","00:12:36,000",إيش الأشياء اللي تشوفيها,I don't know what to show.,neutral
"00:12:37,000","00:12:39,000",في الولد اللي,In the boy who...,neutral
"00:12:39,000","00:12:41,000",أنا مش فاكرة أنت اللي هتجاوب الأول,I'm not thinking. You're the one who responds first.,anger
"00:12:41,000","00:12:42,000",أنا جاوبت السؤال اللي فات,I answered the question.,neutral
"00:12:42,000","00:12:43,000",وقاعدت تصرخ عليها,And I yelled at her.,neutral
"00:12:43,000","00:12:45,000",دارك دحين دلينا نشوف,"Darhk, Deena, Deena, we're looking.",neutral
"00:12:45,000","00:12:46,000",إيش الريد فلاكز اللي في الولد,"Aish Red Flacks, what's in the boy.",neutral
"00:12:46,000","00:12:48,000",يعني دحين فيه ولد شفتيه,It means giving him a lip kid.,neutral
"00:12:48,000","00:12:49,000",إذا فيه له كذا,So that's what it's for.,neutral
"00:12:49,000","00:12:51,000",إكس بيج إكس,XBX.,neutral
"00:12:51,000","00:12:52,000",بيج إكس,Big X.,neutral
"00:12:52,000","00:12:52,000",بيج,Paige.,neutral
"00:12:52,000","00:12:54,000",يكون متحكم,Be in control.,neutral
"00:12:54,000","00:12:57,000",يكون عنده رأي ما بيغيروش,He's got some kind of opinion.,neutral
"00:12:58,000","00:13:02,000",يكون مش مقتنع بالفرص,He's not convinced of the opportunities.,neutral
"00:13:03,000","00:13:03,000",ها؟,Huh?,neutral
"00:13:03,000","00:13:05,000",وإيه بقى الرجل اللي ما يحترمش,"And, uh, there's still the man who respects me.",neutral
"00:13:05,000","00:13:08,000",المرأة اللي معاه وكاينها,The woman who's with her and Kayna...,neutral
"00:13:10,000","00:13:11,000",يعني كله أنا ده ولا إيش؟,You mean I'm all like that and I'm not?,anger
"00:13:11,000","00:13:15,000",لا أنا قلت حقا أنت الريد فلاكز,"No, I really said you're Red Flacks.",neutral
"00:13:15,000","00:13:16,000",أنت قلت الريد فلاكز حقك دحين صح؟,"You said Red Flacks was right, right?",neutral
"00:13:16,000","00:13:18,000",آه قلتها يا ريت أنت تقول حقها,"Ah, I said it, Rhett. You're right.",neutral
"00:13:18,000","00:13:20,000",الريد فلاكز حق,Red Flacks is right.,neutral
"00:13:20,000","00:13:22,000",اللي أشوفها في البيت تكون مرة خلاص,What I see at home is once and for all.,neutral
"00:13:23,000","00:13:24,000",تكون مثلاً,You're like...,neutral
"00:13:24,000","00:13:26,000",تدخن تعسل تفيب,"Smoke, honey. Flip.",neutral
"00:13:26,000","00:13:28,000",هذه الأشياء كلها اللي ما هي صحية,These are all things that are healthy.,neutral
"00:13:28,000","00:13:30,000",ألكوهوليك دراجز ديل أشياء,"Alcoholec Drags Dale, things.",neutral
"00:13:30,000","00:13:31,000",أشياء بطالة هذه,These things are unemployment.,neutral
"00:13:32,000","00:13:33,000",آه إيش كمان,"Uh, violin.",neutral
"00:13:33,000","00:13:34,000",إنها مرة تحب السهر,It's a time you like to wait.,neutral
"00:13:34,000","00:13:36,000",مو مشكلة الواحد يسهر مرة في الشهر,Moe's problem is one stays up once a month.,neutral
"00:13:36,000","00:13:37,000",مرتين في الشهر,Twice a month.,neutral
"00:13:37,000","00:13:38,000",مو كل ويكند,"Moe, eat Weakand.",neutral
"00:13:38,000","00:13:39,000",فلاو كده,"Floo, that's it.",neutral
"00:13:39,000","00:13:40,000",مو حلو,"Oh, sweet.",neutral
"00:13:40,000","00:13:41,000",منطق,Makes sense.,neutral
"00:13:41,000","00:13:43,000",إيش كمان في ريد فلاكز,Aish violin at Red Flacks.,neutral
"00:13:43,000","00:13:45,000",البنت اللي طول الوقت شايفها نفسها صح,"The girl who's been around all the time, she's been watching herself, right?",anger
"00:13:45,000","00:13:46,000",مم؟,Mm?,neutral
"00:13:46,000","00:13:47,000",مو بس البنات حتى الأولاد,"Not even the girls, even the boys.",neutral
"00:13:47,000","00:13:48,000",شايف طول الوقت نفسها صح,Shafe's all the same time. Right.,neutral
"00:13:48,000","00:13:49,000",بيج ريد فلاكز,Big Red Flacks.,neutral
"00:13:49,000","00:13:50,000",مثلاً؟,Like?,neutral
"00:13:50,000","00:13:51,000",أيوه طول الوقت صح,"Oh, all the time. Right.",neutral
"00:13:51,000","00:13:52,000",حرام,Harem.,neutral
"00:13:52,000","00:13:53,000",فأنت الحاجات اللي أنت قلت,You're the kind of thing you said.,neutral
"00:13:53,000","00:13:55,000",أنت مش عايزة في البنت دي,You don't want to be in girl D.,neutral
"00:13:55,000","00:13:56,000",أنت ما بتعمل هيش صح؟,"You don't do Hush, do you?",neutral
"00:13:56,000","00:13:58,000",ولا وحدة منها,Not a single one.,neutral
"00:13:58,000","00:13:59,000",ولا سهر ولا..,Not a night or...,neutral
"00:13:59,000","00:14:00,000",سهر أيوه أسهر,"Wait, wait, wait, wait, wait. Wait, wait, wait, wait.",neutral
"00:14:00,000","00:14:00,000",إجازة,Vacation.,neutral
"00:14:00,000","00:14:02,000",أنا مأجز في الصيف أسهر,I'm late for the summer.,neutral
"00:14:02,000","00:14:03,000",كم مرة في الشهر بتسهر؟,How many times a month do you stay up?,neutral
"00:14:03,000","00:14:04,000",أروح كلابز لما أنا أسافر,I'm taking Claps when I'm traveling.,neutral
"00:14:04,000","00:14:05,000",لما تسافر؟,Why are you traveling?,neutral
"00:14:05,000","00:14:06,000",سافرت مثلاً بالي,I traveled like a ballet.,neutral
"00:14:06,000","00:14:08,000",بتسافر بقى كل أسبوع زي ما قلت كده,"By traveling, he stayed every week, just like you said.",anger
"00:14:08,000","00:14:09,000",ما أسافر؟,What am I traveling?,neutral
"00:14:09,000","00:14:11,000",عادي فبتسافر بقى عادي,Normal. Traveling is normal.,neutral
"00:14:11,000","00:14:12,000",مستحيل أقدر أسافر كل أسبوع,No way. I can travel every week.,neutral
"00:14:12,000","00:14:14,000",أسافر يعني كل 3 شهور,Traveling means every three months.,neutral
"00:14:14,000","00:14:15,000",كل 4 شهور,Every four months.,neutral
"00:14:15,000","00:14:15,000",يا دوب,"Hey, Dob.",neutral
"00:14:15,000","00:14:16,000",ميش,Mish!,neutral
"00:14:16,000","00:14:17,000",طب أنت بقى إيه,"Doctor, you're staying, eh?",neutral
"00:14:17,000","00:14:18,000",الجرين فلاكز,Green Flacks.,neutral
"00:14:18,000","00:14:19,000",لو شفتها في البنت,If I could get her in the girl's mouth...,neutral
"00:14:20,000","00:14:22,000",عكساً اللي قلتلك هو,It's the opposite of what I told you.,neutral
"00:14:22,000","00:14:24,000",وتكون مرة مهتمة بشي معين,And once you're interested in something.,neutral
"00:14:25,000","00:14:26,000",استن,"Hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey.",anger
"00:14:26,000","00:14:28,000",تكون مرة شاطرة فيه,It's like once in a while.,neutral
"00:14:28,000","00:14:28,000",فاهمة؟,Got it?,neutral
"00:14:28,000","00:14:29,000",مثلاً,Like...,neutral
"00:14:29,000","00:14:30,000",رسامة شاطرة,A straight painter.,neutral
"00:14:30,000","00:14:32,000",واضح عليها الموهبة إنها,She's clearly gifted. She's...,neutral
"00:14:32,000","00:14:33,000",أوف,Ugh.,neutral
"00:14:33,000","00:14:34,000",هذي البنت إذا رسمت,"This girl, if she paints.",neutral
"00:14:34,000","00:14:35,000",هذي خلاص,That's a redemption.,neutral
"00:14:35,000","00:14:36,000",هذي هي ممتازة,That's perfect.,neutral
"00:14:36,000","00:14:37,000",شاطرة في شي معين,Something specific.,neutral
"00:14:37,000","00:14:38,000",وحط وقتها فيه,And put her time in it.,neutral
"00:14:38,000","00:14:39,000",ما تكون فاضية,What's free?,neutral
"00:14:39,000","00:14:40,000",طب أنت,You're a doctor.,neutral
"00:14:40,000","00:14:42,000",إيه الجرين فلاكز اللي أنا هشوفها فيك,"Green Flacks, what I'm showing you.",neutral
"00:14:42,000","00:14:43,000",فهبقى عايزة بقى معيك,He stayed. He stayed with you.,neutral
"00:14:43,000","00:14:44,000",أنا لو كنت في علاقة,"If I was in a relationship,",neutral
"00:14:46,000","00:14:48,000",الاهتمام عندها يكون عالي,Then the attention is high.,neutral
"00:14:48,000","00:14:49,000",ما أحب النكد,I don't like the nipples.,neutral
"00:14:49,000","00:14:50,000",طول الوقت كلام بوزيتف,All the time Poseft talks.,neutral
"00:14:50,000","00:14:51,000",ودلع وفرفشة وكده,And a buffet and a buffet and a buffet.,neutral
"00:14:51,000","00:14:52,000",بتدلع بقى,With a leftover.,neutral
"00:14:52,000","00:14:53,000",أكيد طبعاً,"Sure, sure.",neutral
"00:14:53,000","00:14:55,000",أي نوع الدلع اللي أنت بتدلعه بقى,What kind of rib you're playing left?,neutral
"00:14:55,000","00:14:55,000",كلام حلو,Sweet talk.,neutral
"00:14:55,000","00:14:56,000",صباح الخير,Good morning.,neutral
"00:14:56,000","00:14:57,000",مساء الخير,Good evening.,neutral
"00:14:59,000","00:14:59,000",هاي,Hey.,neutral
"00:14:59,000","00:15:01,000",إزايك عمل إيه,"Yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah.",anger
"00:15:01,000","00:15:02,000",دلع ده,That's a bollocks.,neutral
"00:15:02,000","00:15:03,000",إيه كده دلع بالكلام يعني فهم,"Eh, that sounds like an understanding.",neutral
